soil_moisture,temperature,humidity,nutrient_level,action
60,18,31,3,none
35,22,38,1,fertilize
63,38,87,5,none
25,33,57,1,irrigate
21,17,43,2,irrigate
52,34,31,5,none
32,37,71,5,irrigate
46,22,58,5,none
37,40,85,1,fertilize
68,40,40,4,none
41,23,39,2,fertilize
68,25,36,1,fertilize
44,18,52,3,none
58,23,81,1,fertilize
66,29,64,1,fertilize
79,27,35,5,none
38,35,69,3,none
56,21,75,1,fertilize
22,36,44,3,irrigate
25,22,85,1,irrigate
44,23,59,3,none
30,26,52,2,irrigate
62,23,74,1,fertilize
58,35,40,5,none
66,22,40,4,none
44,23,89,5,none
34,36,50,1,irrigate
34,16,81,3,irrigate
45,23,34,2,fertilize
78,33,86,3,none
33,35,61,4,irrigate
76,35,59,2,fertilize
36,19,45,5,none
54,23,77,5,none
47,33,55,3,none
34,19,62,4,irrigate
25,39,33,1,irrigate
29,35,40,4,irrigate
58,17,54,4,none
58,29,63,3,none
55,15,73,1,fertilize
63,32,78,3,none
69,35,51,1,fertilize
38,28,40,4,none
20,38,86,3,irrigate
52,39,41,5,none
78,18,85,3,none
73,35,62,5,none
32,19,53,2,irrigate
54,39,89,5,none
78,15,68,3,none
51,15,37,3,none
76,40,49,2,fertilize
23,22,86,5,irrigate
80,17,35,4,none
72,17,78,5,none
69,19,38,4,none
80,32,40,3,none
53,34,57,2,fertilize
79,32,78,2,fertilize
65,24,55,3,none
48,31,58,1,fertilize
35,22,34,3,none
21,33,65,2,irrigate
57,22,30,1,fertilize
65,35,33,2,fertilize
24,16,85,3,irrigate
24,31,45,3,irrigate
62,30,43,5,none
28,38,89,5,irrigate
56,30,45,4,none
71,28,42,1,fertilize
26,36,57,3,irrigate
47,28,59,1,fertilize
63,35,71,1,fertilize
23,27,76,3,irrigate
71,18,45,2,fertilize
32,32,58,2,irrigate
47,20,47,4,none
35,17,58,5,none
26,16,71,5,irrigate
73,15,35,2,fertilize
30,28,61,4,irrigate
33,27,87,1,irrigate
30,27,30,4,irrigate
36,40,80,4,none
38,28,74,5,none
62,37,61,2,fertilize
32,24,43,1,irrigate
57,38,64,1,fertilize
67,25,33,1,fertilize
57,30,62,5,none
30,16,62,1,irrigate
74,20,34,5,none
24,36,85,2,irrigate
45,18,90,5,none
35,33,68,1,fertilize
59,17,56,5,none
56,31,50,3,none
33,36,75,3,irrigate
35,23,55,2,fertilize
62,35,49,4,none
40,39,89,1,fertilize
20,29,69,5,irrigate
26,17,64,2,irrigate
52,23,38,3,none
76,17,86,2,fertilize
43,24,40,4,none
73,32,75,3,none
59,40,71,5,none
20,36,82,5,irrigate
39,36,36,2,fertilize
36,18,86,1,fertilize
67,32,39,3,none
38,34,43,3,none
33,36,70,3,irrigate
52,30,46,1,fertilize
25,35,57,3,irrigate
22,15,51,2,irrigate
60,23,40,4,none
55,37,57,5,none
20,18,34,2,irrigate
54,16,83,3,none
57,32,39,4,none
28,16,49,3,irrigate
77,40,85,1,fertilize
77,26,43,2,fertilize
62,18,52,5,none
76,28,69,2,fertilize
79,22,85,2,fertilize
71,40,41,4,none
21,20,77,3,irrigate
70,28,81,2,fertilize
37,20,80,1,fertilize
44,16,84,4,none
34,21,82,4,irrigate
42,24,82,2,fertilize
34,15,72,2,irrigate
45,25,47,1,fertilize
69,23,52,5,none
45,36,83,5,none
41,15,37,3,none
31,33,46,1,irrigate
26,34,57,3,irrigate
66,40,50,4,none
58,31,37,4,none
77,33,42,3,none
22,37,57,1,irrigate
53,40,64,2,fertilize
43,28,34,3,none
59,25,72,1,fertilize
66,24,62,3,none
62,28,50,4,none
64,24,65,2,fertilize
32,28,72,4,irrigate
63,38,87,2,fertilize
59,33,49,4,none
55,15,49,3,none
33,28,80,5,irrigate
58,35,50,4,none
48,29,73,2,fertilize
52,30,80,2,fertilize
62,17,48,5,none
62,35,69,3,none
25,39,45,3,irrigate
34,40,42,2,irrigate
21,16,45,4,irrigate
59,39,34,4,none
46,35,66,2,fertilize
65,37,54,4,none
45,22,39,1,fertilize
77,39,85,1,fertilize
69,28,44,2,fertilize
71,37,63,4,none
23,32,45,1,irrigate
49,19,81,4,none
62,31,65,5,none
40,39,87,4,none
59,38,87,5,none
47,32,58,2,fertilize
67,30,58,3,none
68,22,83,3,none
69,39,63,4,none
60,22,47,4,none
24,37,48,2,irrigate
37,25,50,5,none
25,19,39,2,irrigate
44,37,39,2,fertilize
24,28,56,3,irrigate
54,29,56,1,fertilize
33,28,54,5,irrigate
80,37,31,5,none
44,30,30,3,none
39,39,54,4,none
54,38,77,5,none
71,34,87,2,fertilize
51,22,47,4,none
51,15,54,3,none
62,36,81,4,none
66,20,83,4,none
