crop_type,soil_type,soil_moisture,temperature,humidity,nutrient_level,soil_pH,action
Rice,Clay,74,22,47,4,5.8,none
Corn,Loamy,43,21,83,5,6.1,none
Wheat,Clay,54,18,79,5,7.3,none
Soybean,Silty,48,23,58,3,7.1,none
Sugarcane,Peaty,59,25,53,5,6.9,none
Wheat,Loamy,59,19,90,3,6.2,none
Rice,Clay,59,21,42,5,6.4,none
Corn,Sandy,45,22,69,3,7.0,none
Soybean,Loamy,60,23,54,4,6.9,none
Soybean,Silty,50,21,44,3,6.1,none
Soybean,Loamy,57,25,47,4,7.3,none
Wheat,Clay,43,23,63,4,6.0,irrigate
Wheat,Clay,43,25,59,5,6.9,irrigate
Sugarcane,Loamy,60,28,90,4,7.1,none
Soybean,Silty,60,22,88,3,6.6,none
Sugarcane,Loamy,58,35,56,5,6.7,none
Sugarcane,Peaty,53,30,67,5,7.3,irrigate
Soybean,Silty,40,29,70,4,7.4,irrigate
Sugarcane,Loamy,68,34,45,4,7.4,none
Wheat,Loamy,50,24,68,3,6.8,none
Wheat,Clay,52,23,74,5,6.5,none
Soybean,Silty,45,25,53,4,6.0,none
Soybean,Loamy,60,28,79,4,6.7,none
Rice,Silty,75,35,52,5,5.4,none
Sugarcane,Peaty,56,33,65,5,7.5,none
Rice,Clay,69,33,64,4,6.2,none
Rice,Clay,65,29,46,4,6.4,none
Sugarcane,Peaty,50,35,87,4,6.6,irrigate
Corn,Loamy,38,25,63,4,6.8,irrigate
Corn,Sandy,35,23,49,3,6.9,irrigate
Rice,Clay,71,32,79,4,5.6,none
Corn,Sandy,37,25,54,5,6.6,irrigate
Soybean,Silty,60,24,84,4,7.5,none
Corn,Sandy,55,32,65,1,6.8,Fertilize
Corn,Loamy,52,23,48,3,5.9,none
Soybean,Silty,46,27,90,4,6.7,none
Wheat,Clay,50,19,84,5,7.2,none
Rice,Clay,69,33,55,4,5.5,none
Sugarcane,Loamy,61,27,55,4,7.0,none
Sugarcane,Loamy,63,29,41,5,7.0,none
Soybean,Loamy,57,30,60,4,7.3,none
Sugarcane,Peaty,62,30,75,5,7.2,none
Sugarcane,Peaty,70,27,46,5,7.2,none
Wheat,Clay,57,25,44,3,7.4,none
Sugarcane,Loamy,61,31,72,4,6.8,none
Sugarcane,Peaty,56,29,77,4,6.7,none
Sugarcane,Loamy,67,32,56,4,6.6,none
Corn,Sandy,52,25,62,4,6.8,none
Wheat,Clay,50,22,43,3,6.7,none
Corn,Loamy,50,22,74,3,6.3,none
Rice,Silty,66,28,72,4,5.0,none
Wheat,Loamy,53,17,47,5,6.4,none
Rice,Clay,74,21,55,4,6.2,none
Wheat,Loamy,40,24,90,3,7.0,irrigate
Sugarcane,Loamy,59,27,77,4,7.3,none
Wheat,Clay,48,24,86,3,7.3,none
Wheat,Clay,60,19,47,4,7.4,none
Rice,Clay,55,20,90,5,6.3,none
Soybean,Silty,43,25,61,3,6.6,irrigate
Soybean,Silty,54,28,87,3,7.2,none
Wheat,Clay,53,17,49,5,6.0,none
Soybean,Silty,42,20,54,4,6.7,irrigate
Wheat,Loamy,47,20,60,5,6.2,none
